0,Carl Adams,
1,Edward Adams,
3,Tadanori Akiyama,
4,Melynda Albrecht,
7,Stephen Antonakos,
9,T. Asada,
11,Michel Auder,
12,Kiyoshi Awazu,artist
13,Teruo Baba,
14,Karen Bacon,
15,F. Bailey,engineer
18,Bo Beck,
21,Joseph Block,
22,Bruce Blugerman,
23,Lee Bontecou,
24,George Brecht,
28,Herbert Brill,
29,Sy Brockway,
37,George Carr,
40,John Chamberlain,
41,Chandralekha,
43,Robert Cheney,engineer
45,Mimi Clementi,
47,Richard Collins,
48,Ralph Cooper,
49,Robert Cox,
50,Robert Creeley,
55,David Davis,
56,Jeff Davis,
58,Chris Dawson,artist
59,Emile De Antonio,
60,Harriet DeLong,
62,Walter De Maria,artist
63,Richard Demierre,
64,Cronin Dermott,
65,Carlos De Sola,
67,Kaaba Dijon,
68,Ted Dillenkofer,engineer
70,Mark Di Suvero,
71,Tadashi Doi,
73,Julie Doty,
75,Régis Durand,
76,George Edwards,
77,Kazukuki Eguchi,engineer
80,Lewis Ellmore,
81,Beverly Emmons,designer
82,Roger Epworth,
83,Thomas Fabry,engineer
86,Jacquelyn Farrell,artist
87,Roger Ferragallo,
88,Bill Finley,
89,Toby Fitch,engineer
92,John Forkner,artist engineer
94,Hollis Frampton,
95,Karl Erik Friberg,
96,Mariko Fujii,engineer
97,Ikuo Fujita,engineer
98,Tsutomu Fujiwara,
100,Walter Gelb,
108,Alphonsus Grant,
109,Nancy Graves,
112,Ann Halprin,artist
113,Takeshi Hanasaka,
114,Jim Hardy,
115,Leon D. Harmon,researcher professor engineer
116,Harry Harper,artist
117,Cyril Harris,engineer
118,John Harris,artist
121,Susan Hartnett,assistant
122,Paul Hasigawa,
125,Richard Haymes,
130,Takumi Hijikata,artist
131,Yoshiyuki Hijikata,
132,Sebastian Hiraga,
134,James Hobart,engineer
135,Ralph Hocking,
137,Tony Holder,artist
138,Terrie Holland,
139,Cassandra Hughs,
140,Pontus Hulten,curator manager
141,Thomas Huseby,engineer
142,Harris Hyman,
144,Philip Idone,
145,Khalil Issa,engineer
148,Carson Jeffries,engineer
149,James Jiusto,engineer
151,Dennis Johnson,artist
152,Joan Jonas,
153,Howard Jones,
154,Elizabeth Joyce,
157,Nancy Kahan,
158,Toyohisa Kamei,engineer
162,Perry Keats,
164,Robert Kelly,
165,Donald M. Kendall,
166,? Kender,
168,Robert V. Kieronski,engineer
171,Kenneth C. Knowlton,artist engineer
172,Asahi Kogyo,
173,Etsuji Komoguchi,
175,Jane Kramer,
178,Peter Kubik,engineer
179,Tatsuo Kubo,
180,Penelope Kullaway,
181,Hideo Kuraishi,
183,Fumio Kuwahara,engineer
184,Frank La Haye,
